日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/05/02,38436942,8633492540,227.0,227.5,222.5,223.0,-4.0,11445
107/05/03,33507731,7399813831,221.0,222.5,220.0,220.5,-2.5,12287
107/05/04,28477722,6330594053,221.0,224.0,220.5,223.0,2.5,8445
107/05/07,23751759,5309421525,225.0,225.5,221.5,223.5,0.5,8951
107/05/08,40324763,9146327464,224.0,228.5,223.5,228.0,4.5,13229
107/05/09,35597934,8188991070,228.5,232.0,228.5,229.5,1.5,12616
107/05/10,27530377,6337230710,231.0,231.5,229.0,229.5,0.0,11051
107/05/11,30693910,7138428530,232.0,234.0,230.5,233.0,3.5,11920
107/05/14,23577637,5502726121,234.5,234.5,232.5,233.0,0.0,7666
107/05/15,23771769,5493470187,233.5,234.0,229.5,230.5,-2.5,7810
107/05/16,14834107,3408682013,229.5,230.5,228.5,230.5,0.0,5398
107/05/17,27702737,6322484836,231.0,231.5,226.5,226.5,-4.0,8428
107/05/18,28187541,6327474145,225.5,227.5,223.5,223.5,-3.0,9720
107/05/21,16417815,3751438835,225.0,230.0,225.0,229.0,5.5,7591
107/05/22,22422097,5175634112,230.0,233.5,229.0,229.0,0.0,6963
107/05/23,26737899,6146178621,231.5,231.5,228.5,228.5,-0.5,5059
107/05/24,13450610,3082675140,229.5,230.0,228.5,229.0,0.5,4240
107/05/25,16486294,3769909946,228.5,229.5,228.0,228.5,-0.5,5474
107/05/28,17673270,4020203060,229.5,230.0,226.5,227.0,-1.5,7239
107/05/29,25770776,5782293276,226.5,226.5,223.5,225.0,-2.0,11400
107/05/30,49667788,10997306304,224.0,224.0,220.5,221.0,-4.0,21406
107/05/31,96587458,21553655265,221.5,224.0,220.5,224.0,3.0,12737
